favorites,retweets,tweet_id
48721,21041,819006400881917954
93269,40811,819004803107983360
0,23234,818646164899774465
23973,8300,818627210458333184
10659,2880,818614493328580609
0,6852,818588835076603904
11805,2760,818536468981415936
0,9052,818307523543449600
11916,2543,818259473185828864
13297,2894,818145370475810820
5226,878,817908911860748288
56081,30216,817827839487737858
11565,2974,817777686764523521
12756,3388,817536400337801217
0,3788,817502432452313088
37057,16728,817423860136083457
6079,1074,817415592588222464
0,9496,817181837579653120
9432,2241,817171292965273600
13136,2922,817120970343411712
9260,1842,817056546584727552
0,5264,816829038950027264
10799,2276,816816676327063552
10603,2454,816697700272001025
33089,9052,816450570814898180
9315,2180,816336735214911488
9654,2402,816091915477250048
0,1168,816062466425819140
0,5927,816014286006976512
5402,1168,815990720817401858
24317,9496,815966073409433600
0,4614,815745968457060357
10650,2533,815736392542261248
8903,1838,815639385530101762
11187,4245,815390420867969024
8272,1439,814986499976527872
12221,3030,814638523311648768
0,6502,814578408554463233
9386,2067,814530161257443328
31127,9718,814153002265309185
0,3597,813944609378369540
10056,2105,813910438903693312
39369,15661,813812741911748608
9042,1966,813800681631023104
20260,8145,813217897535406080
9940,2011,813202720496779264
21508,4884,813187593374461952
10122,2144,813172488309972993
8396,2474,813157409116065792
9118,2639,813142292504645637
4841,495,813130366689148928
12859,3500,813127251579564032
11203,3084,813112105746448384
11403,4040,813096984823349248
10714,3097,813081950185472002
8620,2174,813066809284972545
22714,8186,813051746834595840
8204,2136,812781120811126785
0,7774,812747805718642688
7183,1605,812709060537683968
6591,1371,812503143955202048
8672,2155,812466873996607488
14842,4103,812372279581671427
7882,1575,811985624773361665
8179,1803,811744202451197953
6052,830,811647686436880384
13901,3509,811627233043480576
22681,7162,811386762094317568
5788,1602,810984652412424192
9819,1998,810896069567610880
11904,2952,810657578271330305
38508,12800,810284430598270976
15935,3752,810254108431155201
16811,4360,809920764300447744
0,5493,809808892968534016
7515,1646,809448704142938112
21650,6298,809220051211603969
14348,3930,809084759137812480
10965,3400,808838249661788160
8586,2424,808733504066486276
12257,2904,808501579447930884
46126,23234,808344865868283904
0,6683,808134635716833280
9463,2448,808106460588765185
13650,3955,808001312164028416
15829,4124,807621403335917568
122375,60690,807106840509214720
0,8226,807059379405148160
14150,4276,807010152071229440
81704,39143,806629075125202948
0,6190,806620845233815552
5259,2159,806576416489959424
11092,2657,806542213899489280
0,13112,806242860592926720
6974,1341,806219024703037440
0,6027,805958939288408065
8987,2131,805932879469572096
7156,2053,805826884734976000
0,9028,805823200554876929
6229,1854,805520635690676224
9532,2834,805487436403003392
8455,1902,805207613751304193
14924,4319,804738756058218496
6689,2257,804475857670639616
0,3600,804413760345620481
48489,18171,804026241225523202
10918,3106,803773340896923648
0,8326,803692223237865472
11944,4651,803638050916102144
8421,2080,803380650405482500
0,5973,803321560782307329
10904,2769,803276597545603072
9792,2249,802952499103731712
0,3279,802624713319034886
7743,1645,802600418706604034
9725,2816,802572683846291456
17674,6553,802323869084381190
6910,1523,802265048156610565
9865,2919,802239329049477120
0,299,802185808107208704
8397,1912,801958328846974976
1916,262,801854953262350336
8912,2307,801538201127157760
6593,929,801285448605831168
26679,6683,801167903437357056
0,4459,801127390143516673
8782,2344,801115127852503040
748,107,800859414831898624
0,1827,800855607700029440
11407,3110,800751577355128832
14294,3376,800513324630806528
10277,2412,800459316964663297
0,4847,800443802682937345
12122,3144,800388270626521089
0,4423,800188575492947969
16634,2872,800141422401830912
30877,14770,800018252395122689
0,5258,799774291445383169
9144,2426,799757965289017345
8747,2140,799422933579902976
0,6214,799308762079035393
10794,3109,799297110730567681
8805,2754,799063482566066176
14326,5030,798933969379225600
8082,1606,798925684722855936
0,7431,798705661114773508
0,8767,798701998996647937
0,7286,798697898615730177
0,5567,798694562394996736
0,2605,798686750113755136
0,5307,798682547630837760
0,6234,798673117451325440
0,4360,798665375516884993
0,2072,798644042770751489
0,2205,798628517273620480
0,6413,798585098161549313
0,6606,798576900688019456
0,3770,798340744599797760
11290,2858,798209839306514432
12680,3518,797971864723324932
15790,5442,797545162159308800
21770,7428,797236660651966464
250,31,797165961484890113
0,9997,796904159865868288
8343,2132,796865951799083009
12918,3432,796759840936919040
0,8209,796563435802726400
8250,1972,796484825502875648
11993,4666,796387464403357696
0,16061,796177847564038144
35240,16061,796149749086875649
5379,2003,796125600683540480
9893,2718,796116448414461957
